"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122"
"better",0.0225198343480274,0.0316034650094166,0,0,0,0,0,0,0,0.0257589886035656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264845939163421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300864986889646,0,0,0,0,0,0,0.0205508870826261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255837573885753,0,0,0,0,0,0,0,0,0,0.021368251909776,0,0,0,0,0,0,0,0,0,0,0,0,0.0185261691434511,0,0,0,0,0,0,0
"bloomberg",0.0415014211830113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"both",0.0248234292507223,0,0.0238247855452335,0,0,0,0,0.0137268631949359,0.0217042548946106,0,0,0,0,0,0,0,0,0,0,0,0.0318885591143894,0,0,0,0.0180239681950897,0.016450447162185,0,0.0149119161326282,0,0,0.0194625008679372,0,0,0.0163209160821678,0.0158225674995062,0,0,0.0148054024459665,0,0,0,0,0,0,0,0,0,0.0132868996309956,0,0.0201238479848089,0,0,0,0,0,0,0,0,0.0232893971060148,0.0172729695202943,0,0,0,0,0.0257485259929853,0,0,0.0167157769551235,0,0,0,0.00856510885303849,0,0,0,0,0,0,0,0,0,0.0161934089252759,0,0,0.0110252996938049,0,0,0,0,0,0,0,0,0,0.0460612520541181,0,0,0,0,0.0119812505343082,0,0,0,0,0,0,0.00982348977457495,0,0,0,0.0329008943243701,0,0.0100619239924044,0.012794792237255,0,0,0.0178685891589251,0,0,0,0,0.0724739979872487
"chain",0.265728359509377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267974855302331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425063563583007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349697683515098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"coattent",0.0830028423660226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"construct",0.0246909126676963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296646216942826,0,0,0,0,0.0358554992652633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021145550848745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392703087190979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219328851888579,0,0,0,0,0,0.0254529778734894,0,0,0,0,0,0,0,0
"context",0.0127148647635047,0,0,0,0,0.0147457112187867,0,0,0.0222343708429872,0.0145437151746937,0,0,0,0,0,0,0.00965173825229674,0,0.017694853462544,0.00935410755729199,0,0,0,0,0,0,0.0171240517379458,0,0.0175486150041759,0,0,0,0,0,0,0.0115401218233983,0,0,0.0131887106553123,0.0116669363489301,0,0,0.0136992413903567,0.0169870593240423,0,0,0.0179947662330956,0,0.0451783492660698,0,0,0.0125643929911555,0,0.018708215114584,0.00978517242168333,0,0,0,0,0,0,0,0.0194805726193145,0,0.0263774213106246,0,0,0,0,0,0,0,0,0.013026885984695,0,0,0,0.0171240517379458,0,0,0,0,0.0606680690144366,0,0,0,0,0.0109452701830169,0.0184641949174372,0,0,0,0,0,0,0,0,0,0.0120646728153709,0,0,0.0120646728153709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"correl",0.0295253732788197,0,0,0,0,0,0,0,0,0,0.0286670775439703,0,0,0,0,0,0,0.0354729304860639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425063563583007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cosearch",0.124504263549034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"coview",0.0415014211830113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
